model_alias,condition,horizon,landmark,surviving_rollouts,at_risk_rollouts,excluded_noncanonical_at_landmark,eligible_contexts,informative_contexts,prior_and_future,prior_only,future_only,neither,pooled_future_probability_given_prior,pooled_future_probability_given_no_prior,pooled_future_risk_difference,common_odds_ratio,test_name,test_statistic,p_value,log10_p_value,multiplicity_p_value,multiplicity_log10_p_value,by_q_value,log10_by_q_value
gemma3-4b-it,unconditional,128,64,62,59,3,1,0,0,0,0,59,,0.0,,,,,,,1.0,0.0,1.0,0.0
gemma3-4b-it,unconditional,256,128,57,54,3,1,0,0,0,0,54,,0.0,,,,,,,1.0,0.0,1.0,0.0
gemma3-4b-it,unconditional,512,256,46,43,3,1,0,0,0,0,43,,0.0,,,,,,,1.0,0.0,1.0,0.0
gemma3-4b-it,unconditional,1024,512,13,12,1,1,0,0,0,0,12,,0.0,,,,,,,1.0,0.0,1.0,0.0
gemma3-4b-it,unconditional,2048,1024,0,0,0,0,0,0,0,0,0,,,,,,,,,1.0,0.0,1.0,0.0
gemma3-4b-it,wikitext,128,64,1573,1556,17,100,0,0,1,19,1536,0.0,0.012218649517684888,-0.012218649517684888,,,,,,1.0,0.0,1.0,0.0
gemma3-4b-it,wikitext,256,128,1437,1405,32,100,0,0,0,54,1351,,0.038434163701067614,,,,,,,1.0,0.0,1.0,0.0
gemma3-4b-it,wikitext,512,256,937,889,48,98,0,0,1,59,829,0.0,0.06644144144144144,-0.06644144144144144,,,,,,1.0,0.0,1.0,0.0
gemma3-4b-it,wikitext,1024,512,274,249,25,84,1,0,2,27,220,0.0,0.10931174089068826,-0.10931174089068826,0.0,exact_stratified_conditional,,1.0,0.0,1.0,0.0,1.0,0.0
gemma3-4b-it,wikitext,2048,1024,67,58,9,43,0,0,0,2,56,,0.034482758620689655,,,,,,,1.0,0.0,1.0,0.0
qwen3-30b-a3b-instruct-2507,unconditional,128,64,44,35,9,1,1,4,4,3,24,0.5,0.1111111111111111,0.3888888888888889,8.0,fisher_exact,,0.03348491788261464,-1.4751507617769597,0.03348491788261464,-1.4751507617769597,0.6847978240499183,-0.16443762830259526
qwen3-30b-a3b-instruct-2507,unconditional,256,128,42,33,9,1,1,8,2,3,20,0.8,0.13043478260869565,0.6695652173913044,26.666666666666668,fisher_exact,,0.0004249736174096572,-3.371638030347454,0.0004249736174096572,-3.371638030347454,0.0318673928016449,-1.496653466434527
qwen3-30b-a3b-instruct-2507,unconditional,512,256,41,32,9,1,1,6,6,3,17,0.5,0.15,0.35,5.666666666666667,fisher_exact,,0.04926841790023068,-1.3074313834980054,0.04926841790023068,-1.3074313834980054,0.8525720339529332,-0.0692689171722525
qwen3-30b-a3b-instruct-2507,unconditional,1024,512,36,28,8,1,1,8,4,2,14,0.6666666666666666,0.125,0.5416666666666666,14.0,fisher_exact,,0.005409845684445233,-2.266815122943291,0.005409845684445233,-2.266815122943291,0.20283338819161978,-0.692860554694345
qwen3-30b-a3b-instruct-2507,unconditional,2048,1024,31,20,11,1,1,4,3,6,7,0.5714285714285714,0.46153846153846156,0.10989010989010983,1.5555555555555556,fisher_exact,,1.0,0.0,1.0,0.0,1.0,0.0
qwen3-30b-a3b-instruct-2507,wikitext,128,64,1598,1567,31,100,1,1,4,20,1542,0.2,0.012804097311139564,0.18719590268886044,inf,exact_stratified_conditional,,0.06250000000000017,-1.2041199826559235,0.06250000000000017,-1.2041199826559235,0.9479124640178069,-0.023231766194963827
qwen3-30b-a3b-instruct-2507,wikitext,256,128,1584,1538,46,100,5,3,5,43,1487,0.375,0.028104575163398694,0.3468954248366013,6.966666666666666,exact_stratified_conditional,,0.021893310546874992,-1.6596885626197702,0.021893310546874992,-1.6596885626197702,0.5690814466594366,-0.24482557314193737
qwen3-30b-a3b-instruct-2507,wikitext,512,256,1540,1476,64,100,16,7,20,92,1357,0.25925925925925924,0.06349206349206349,0.19576719576719576,3.2873631603998104,exact_stratified_conditional,,0.022767278373814596,-1.642688882335202,0.022767278373814596,-1.642688882335202,0.5690814466594366,-0.24482557314193737
qwen3-30b-a3b-instruct-2507,wikitext,1024,512,1409,1305,104,100,33,32,30,157,1086,0.5161290322580645,0.1263073209975865,0.38982171126047804,4.359276395759888,exact_stratified_conditional,,2.8821759895744658e-08,-7.540279504102349,2.8821759895744658e-08,-7.540279504102349,3.2418753995745793e-06,-5.489203681133741
qwen3-30b-a3b-instruct-2507,wikitext,2048,1024,1177,1036,141,100,60,83,40,185,728,0.6747967479674797,0.20262869660460023,0.4721680513628794,6.303434485820237,exact_stratified_conditional,,7.081150096402431e-18,-17.149896199943413,7.081150096402431e-18,-17.149896199943413,1.5929774157622885e-15,-14.797790381310822
gemma-2b-it,unconditional,128,64,44,25,19,1,0,0,0,0,25,,0.0,,,,,,,1.0,0.0,1.0,0.0
gemma-2b-it,unconditional,256,128,24,13,11,1,0,0,0,0,13,,0.0,,,,,,,1.0,0.0,1.0,0.0
gemma-2b-it,unconditional,512,256,1,1,0,1,0,0,0,0,1,,0.0,,,,,,,1.0,0.0,1.0,0.0
gemma-2b-it,unconditional,1024,512,0,0,0,0,0,0,0,0,0,,,,,,,,,1.0,0.0,1.0,0.0
gemma-2b-it,unconditional,2048,1024,0,0,0,0,0,0,0,0,0,,,,,,,,,1.0,0.0,1.0,0.0
gemma-2b-it,wikitext,128,64,1086,1063,23,98,0,0,0,19,1044,,0.017873941674506115,,,,,,,1.0,0.0,1.0,0.0
gemma-2b-it,wikitext,256,128,428,412,16,78,0,0,0,12,400,,0.02912621359223301,,,,,,,1.0,0.0,1.0,0.0
gemma-2b-it,wikitext,512,256,45,42,3,21,0,0,0,3,39,,0.07142857142857142,,,,,,,1.0,0.0,1.0,0.0
gemma-2b-it,wikitext,1024,512,0,0,0,0,0,0,0,0,0,,,,,,,,,1.0,0.0,1.0,0.0
gemma-2b-it,wikitext,2048,1024,0,0,0,0,0,0,0,0,0,,,,,,,,,1.0,0.0,1.0,0.0
llama2-7b,unconditional,128,64,53,50,3,1,1,1,0,1,48,1.0,0.02040816326530612,0.9795918367346939,inf,fisher_exact,,0.03999999999999988,-1.3979400086720388,0.03999999999999988,-1.3979400086720388,0.7498675563882345,-0.12501543608707402
llama2-7b,unconditional,256,128,46,42,4,1,0,0,0,2,40,,0.047619047619047616,,,,,,,1.0,0.0,1.0,0.0
llama2-7b,unconditional,512,256,37,34,3,1,0,0,0,3,31,,0.08823529411764706,,,,,,,1.0,0.0,1.0,0.0
llama2-7b,unconditional,1024,512,22,19,3,1,0,0,0,2,17,,0.10526315789473684,,,,,,,1.0,0.0,1.0,0.0
llama2-7b,unconditional,2048,1024,9,6,3,1,0,0,0,2,4,,0.3333333333333333,,,,,,,1.0,0.0,1.0,0.0
llama2-7b,wikitext,128,64,1568,1351,217,87,3,2,35,21,1293,0.05405405405405406,0.01598173515981735,0.038072318894236706,3.0434782608695654,exact_stratified_conditional,,0.18858333333333352,-0.7244966920928958,0.18858333333333352,-0.7244966920928958,1.0,0.0
llama2-7b,wikitext,256,128,1517,1293,224,87,2,1,34,47,1211,0.02857142857142857,0.037360890302066775,-0.008789461730638205,1.0,exact_stratified_conditional,,1.0,0.0,1.0,0.0,1.0,0.0
llama2-7b,wikitext,512,256,1414,1178,236,86,7,3,32,61,1082,0.08571428571428572,0.05336832895888014,0.032345956755405574,1.232133979617201,exact_stratified_conditional,,0.9999999999999999,-2.913888700538884e-17,0.9999999999999999,-2.913888700538884e-17,1.0,0.0
llama2-7b,wikitext,1024,512,1215,952,263,86,10,5,28,130,789,0.15151515151515152,0.14145810663764963,0.010057044877501892,0.22070063694267514,exact_stratified_conditional,,0.26751053111455586,-0.5726591163907381,0.26751053111455586,-0.5726591163907381,1.0,0.0
llama2-7b,wikitext,2048,1024,911,629,282,81,13,16,18,212,383,0.47058823529411764,0.3563025210084034,0.11428571428571427,1.1483530254206946,exact_stratified_conditional,,0.7914508310224123,-0.1015760605602325,0.7914508310224123,-0.1015760605602325,1.0,0.0
mamba-130m,unconditional,128,64,57,51,6,1,1,17,9,8,17,0.6538461538461539,0.32,0.33384615384615385,4.013888888888889,fisher_exact,,0.025449351023295364,-1.594323288006803,0.025449351023295364,-1.594323288006803,0.5725092799051487,-0.24221746937421362
mamba-130m,unconditional,256,128,43,32,11,1,1,14,6,5,7,0.7,0.4166666666666667,0.28333333333333327,3.2666666666666666,fisher_exact,,0.15024273577496894,-0.8232065169233096,0.15024273577496894,-0.8232065169233096,1.0,0.0
mamba-130m,unconditional,512,256,32,18,14,1,1,15,0,1,2,1.0,0.3333333333333333,0.6666666666666667,inf,fisher_exact,,0.01960784313725492,-1.7075701760979358,0.01960784313725492,-1.7075701760979358,0.5690814466594366,-0.24482557314193737
mamba-130m,unconditional,1024,512,19,8,11,1,0,8,0,0,0,1.0,,,,,,,,1.0,0.0,1.0,0.0
mamba-130m,unconditional,2048,1024,13,2,11,1,0,2,0,0,0,1.0,,,,,,,,1.0,0.0,1.0,0.0
mamba-130m,wikitext,128,64,1578,1344,234,100,49,40,48,260,996,0.45454545454545453,0.2070063694267516,0.24753908511870293,2.511933750103914,exact_stratified_conditional,,0.0015027741494738078,-2.8231062842218013,0.0015027741494738078,-2.8231062842218013,0.08451611844520013,-1.073060456917174
mamba-130m,wikitext,256,128,1522,1104,418,100,70,76,58,357,613,0.5671641791044776,0.3680412371134021,0.1991229419910755,1.9029118159631617,exact_stratified_conditional,,0.0023723332988173996,-2.624824295211444,0.0023723332988173996,-2.624824295211444,0.10673614642335887,-0.9716884809148733
mamba-130m,wikitext,512,256,1396,721,675,100,63,98,43,361,219,0.6950354609929078,0.6224137931034482,0.07262166788945956,1.1964286798870294,exact_stratified_conditional,,0.49706927513422494,-0.30358308065913725,0.49706927513422494,-0.30358308065913725,1.0,0.0
mamba-130m,wikitext,1024,512,1196,307,889,94,21,105,6,170,26,0.9459459459459459,0.8673469387755102,0.07859900717043578,2.4790313852813854,exact_stratified_conditional,,0.06320532579002752,-1.1992463257718722,0.06320532579002752,-1.1992463257718722,0.9479124640178069,-0.023231766194963827
mamba-130m,wikitext,2048,1024,865,44,821,30,1,19,2,21,2,0.9047619047619048,0.9130434782608695,-0.008281573498964745,0.0,exact_stratified_conditional,,1.0,0.0,1.0,0.0,1.0,0.0
